"Artikel-Nr";"Produktname";"Kategorie";"Hersteller";"Lagerbestand";"Mindestbestand";"Einkaufspreis";"Verkaufspreis";"Lagerort";"Lieferant";"Status"
"A-1001";"Laptop ThinkPad X1";"Hardware";"Lenovo";"45";"20";"899,00";"1299,00";"Regal A3";"TechSupply GmbH";"Verfügbar"
"A-1002";"Monitor 27 Zoll";"Hardware";"Dell";"32";"15";"245,50";"399,99";"Regal B1";"DisplayPro AG";"Verfügbar"
"A-1003";"Tastatur mechanisch";"Zubehör";"Logitech";"67";"30";"89,90";"149,00";"Regal C2";"OfficeStore Ltd";"Verfügbar"
"A-1004";"Maus wireless";"Zubehör";"Logitech";"124";"50";"34,50";"59,99";"Regal C2";"OfficeStore Ltd";"Verfügbar"
"A-1005";"Dockingstation USB-C";"Zubehör";"Dell";"18";"25";"156,00";"249,00";"Regal A5";"TechSupply GmbH";"Nachbestellen"
"A-1006";"Headset Bluetooth";"Audio";"Sony";"89";"40";"67,80";"119,99";"Regal D1";"AudioWorld GmbH";"Verfügbar"
"A-1007";"Webcam 4K";"Video";"Logitech";"41";"20";"123,00";"189,99";"Regal D3";"MediaTech AG";"Verfügbar"
"A-1008";"SSD 1TB NVMe";"Speicher";"Samsung";"56";"30";"89,00";"149,00";"Regal E2";"DataStore GmbH";"Verfügbar"
"A-1009";"RAM 16GB DDR4";"Hardware";"Crucial";"78";"35";"56,90";"99,00";"Regal E1";"TechSupply GmbH";"Verfügbar"
"A-1010";"Router WiFi 6";"Netzwerk";"TP-Link";"23";"15";"78,50";"129,99";"Regal F1";"NetConnect Ltd";"Verfügbar"
"A-1011";"Switch 8-Port";"Netzwerk";"Netgear";"34";"20";"45,00";"79,99";"Regal F1";"NetConnect Ltd";"Verfügbar"
"A-1012";"USB-Stick 128GB";"Speicher";"SanDisk";"156";"80";"12,90";"24,99";"Regal E4";"DataStore GmbH";"Verfügbar"
"A-1013";"Laptop-Tasche";"Zubehör";"Samsonite";"92";"40";"34,00";"59,99";"Regal C4";"OfficeStore Ltd";"Verfügbar"
"A-1014";"Grafikkarte RTX 4060";"Hardware";"Nvidia";"12";"10";"389,00";"599,00";"Regal A1";"GraphicsHub AG";"Verfügbar"
"A-1015";"Drucker Laser";"Büro";"HP";"8";"5";"234,00";"399,00";"Regal G2";"PrintSolutions GmbH";"Verfügbar"
"A-1016";"Scanner Duplex";"Büro";"Fujitsu";"14";"10";"345,00";"549,00";"Regal G3";"DocuTech Ltd";"Verfügbar"
"A-1017";"Kabelmanagement Set";"Zubehör";"Diverse";"203";"100";"8,50";"16,99";"Regal C5";"OfficeStore Ltd";"Verfügbar"
"A-1018";"Monitorarm ergonomisch";"Zubehör";"Ergotron";"27";"15";"89,00";"159,00";"Regal B3";"ErgoOffice AG";"Verfügbar"
"A-1019";"NAS 4-Bay";"Speicher";"Synology";"9";"5";"456,00";"699,00";"Regal E5";"StoragePro GmbH";"Verfügbar"
"A-1020";"UPS 1500VA";"Strom";"APC";"15";"10";"178,00";"289,00";"Regal H1";"PowerTech AG";"Verfügbar"
